id,timestamp,scan_timestamp,symbol,provider,direction,score,strategy_version,v2_score,confidence,location_15m,reversal_5m,entry,entry_low,entry_high,trigger,stop,target,risk_pct,reward_r,valid_until,latest_closed_5m_timestamp,latest_closed_15m_timestamp,data_age_seconds,timeframes,rsi_5m,trend_4h,trend_1h,structure_30m,structure_15m,liquidity_sweep_5m,volume_5m,exhaustion_15m,base_15m,structure_shift_5m,reversal_trigger_5m,early_reversal_score,reason
Bitget_2026-09-21T12:01:12.671251+00:00_RUNEUSDT_SHORT_0.598,2026-09-21T12:01:12.671251+00:00,2026-09-21T12:01:12.671251+00:00,RUNEUSDT,Bitget,SHORT,0.0,,0.0,100.0,1.0,0.5,0.598,0.59765,0.59835,0.598,0.60265,0.5705,0.8361,5.43,2026-09-21T12:16:12.671251+00:00,2026-09-21T11:55:00+00:00,2026-09-21T11:45:00+00:00,372.671,4H/1H/30m/15m/5m,47.85,0.0,0.0,0.5,0.5,0.0,0.407,1.0,1.0,1.0,1.0,1.0,EARLY REVERSAL: extreme location + exhaustion + base + trigger
Bitget_2026-09-21T12:01:03.991657+00:00_LINKUSDT_SHORT_13.035,2026-09-21T12:01:03.991657+00:00,2026-09-21T12:01:03.991657+00:00,LINKUSDT,Bitget,SHORT,0.0,,0.0,100.0,1.0,0.5,13.035,13.026871428571,13.043128571429,13.035,13.140128571429,12.469,0.8689,4.93,2026-09-21T12:16:03.991657+00:00,2026-09-21T11:55:00+00:00,2026-09-21T11:45:00+00:00,363.992,4H/1H/30m/15m/5m,53.85,0.0,0.0,0.5,0.5,0.0,1.0,1.0,1.0,1.0,1.0,1.0,EARLY REVERSAL: extreme location + exhaustion + base + trigger
Bitget_2026-09-21T12:01:18.093554+00:00_VELVETUSDT_SHORT_0.06208,2026-09-21T12:01:18.093554+00:00,2026-09-21T12:01:18.093554+00:00,VELVETUSDT,Bitget,SHORT,0.0,,0.0,100.0,1.0,0.5,0.06208,0.062015714286,0.062144285714,0.06208,0.062704285714,0.05821,1.1092,5.53,2026-09-21T12:16:18.093554+00:00,2026-09-21T11:55:00+00:00,2026-09-21T11:45:00+00:00,378.094,4H/1H/30m/15m/5m,46.77,0.0,0.0,0.5,0.5,0.0,0.86,1.0,1.0,1.0,1.0,1.0,EARLY REVERSAL: extreme location + exhaustion + base + trigger
Bitget_2026-09-21T12:00:56.084914+00:00_EDGEUSDT_SHORT_0.6083,2026-09-21T12:00:56.084914+00:00,2026-09-21T12:00:56.084914+00:00,EDGEUSDT,Bitget,SHORT,0.0,,0.0,100.0,1.0,0.5,0.6083,0.60744,0.60916,0.6083,0.61496,0.5709,1.2362,4.86,2026-09-21T12:15:56.084914+00:00,2026-09-21T11:55:00+00:00,2026-09-21T11:45:00+00:00,356.085,4H/1H/30m/15m/5m,53.26,0.0,0.0,0.5,0.5,0.0,0.0,1.0,1.0,1.0,1.0,1.0,EARLY REVERSAL: extreme location + exhaustion + base + trigger
Bitget_2026-09-21T12:00:49.107677+00:00_AXSUSDT_SHORT_1.062,2026-09-21T12:00:49.107677+00:00,2026-09-21T12:00:49.107677+00:00,AXSUSDT,Bitget,SHORT,0.0,,0.0,100.0,1.0,0.5,1.062,1.061471428571,1.062528571429,1.062,1.072528571429,1.016,1.0412,4.11,2026-09-21T12:15:49.107677+00:00,2026-09-21T11:55:00+00:00,2026-09-21T11:45:00+00:00,349.108,4H/1H/30m/15m/5m,40.91,0.0,0.0,0.5,0.5,0.0,0.49,1.0,1.0,1.0,1.0,1.0,EARLY REVERSAL: extreme location + exhaustion + base + trigger
Bitget_2026-09-21T12:01:16.787660+00:00_TUTUSDT_SHORT_0.02207,2026-09-21T12:01:16.787660+00:00,2026-09-21T12:01:16.787660+00:00,TUTUSDT,Bitget,SHORT,0.0,,0.0,100.0,1.0,0.5,0.02207,0.022048857143,0.022091142857,0.02207,0.022341142857,0.02131,1.3244,2.53,2026-09-21T12:16:16.787660+00:00,2026-09-21T11:55:00+00:00,2026-09-21T11:45:00+00:00,376.788,4H/1H/30m/15m/5m,54.79,0.0,0.0,0.5,0.5,0.0,0.199,1.0,1.0,1.0,1.0,1.0,EARLY REVERSAL: extreme location + exhaustion + base + trigger
Bitget_2026-09-21T12:01:19.339769+00:00_XLMUSDT_SHORT_0.21046,2026-09-21T12:01:19.339769+00:00,2026-09-21T12:01:19.339769+00:00,XLMUSDT,Bitget,SHORT,0.0,,0.0,87.5,1.0,0.5,0.21046,0.210257142857,0.210662857143,0.21046,0.213232857143,0.19709,1.4139,4.42,2026-09-21T12:16:19.339769+00:00,2026-09-21T11:55:00+00:00,2026-09-21T11:45:00+00:00,379.34,4H/1H/30m/15m/5m,31.11,0.0,0.0,0.5,0.5,0.0,1.0,0.5,1.0,1.0,1.0,0.875,EARLY REVERSAL: extreme location + exhaustion + base + trigger
Bitget_2026-09-21T12:00:59.106872+00:00_GALAUSDT_SHORT_0.002031,2026-09-21T12:00:59.106872+00:00,2026-09-21T12:00:59.106872+00:00,GALAUSDT,Bitget,SHORT,0.0,,0.0,87.5,1.0,0.5,0.002031,0.002030028571,0.002031971429,0.002031,0.002045971429,0.00196,0.785,4.39,2026-09-21T12:15:59.106872+00:00,2026-09-21T11:55:00+00:00,2026-09-21T11:45:00+00:00,359.107,4H/1H/30m/15m/5m,43.48,0.0,0.0,0.5,1.0,0.0,0.0,0.5,1.0,1.0,1.0,0.875,EARLY REVERSAL: extreme location + exhaustion + base + trigger
Bitget_2026-09-21T12:00:58.008527+00:00_FARTCOINUSDT_SHORT_0.1812,2026-09-21T12:00:58.008527+00:00,2026-09-21T12:00:58.008527+00:00,FARTCOINUSDT,Bitget,SHORT,0.0,,0.0,87.5,1.0,0.5,0.1812,0.181004285714,0.181395714286,0.1812,0.183295714286,0.1696,1.2646,4.98,2026-09-21T12:15:58.008527+00:00,2026-09-21T11:55:00+00:00,2026-09-21T11:45:00+00:00,358.009,4H/1H/30m/15m/5m,47.37,0.0,0.0,0.5,0.5,0.0,0.131,0.5,1.0,1.0,1.0,0.875,EARLY REVERSAL: extreme location + exhaustion + base + trigger
Bitget_2026-09-21T12:00:45.261115+00:00_1000BONKUSDT_SHORT_0.00324,2026-09-21T12:00:45.261115+00:00,2026-09-21T12:00:45.261115+00:00,1000BONKUSDT,Bitget,SHORT,0.0,,0.0,87.5,1.0,0.5,0.00324,0.003237171429,0.003242828571,0.00324,0.003286828571,0.003019,1.5326,4.39,2026-09-21T12:15:45.261115+00:00,2026-09-21T11:55:00+00:00,2026-09-21T11:45:00+00:00,345.261,4H/1H/30m/15m/5m,46.03,0.0,0.0,0.5,0.5,0.0,0.0,0.5,1.0,1.0,1.0,0.875,EARLY REVERSAL: extreme location + exhaustion + base + trigger
