id,timestamp,symbol,provider,direction,score,v2_score,confidence,strategy_version,location_15m,reversal_5m,exhaustion_15m,base_15m,structure_shift_5m,reversal_trigger_5m,early_reversal_score,entry,stop,target,risk_pct,reward_r
Bitget_2026-09-19T08:15:40.586735+00:00_ORDERUSDT_LONG_0.0374,2026-09-19T08:15:40.586735+00:00,ORDERUSDT,Bitget,LONG,0.0,0.0,83.0,legacy,1.0,0.5,,,,,,0.0374,0.037132285714,0.037988571429,0.7632,2.0
Bitget_2026-09-20T03:49:48.403589+00:00_AVAXUSDT_LONG_9.548,2026-09-20T03:49:48.403589+00:00,AVAXUSDT,Bitget,LONG,0.0,0.0,81.2,legacy,1.0,0.5,1.0,1.0,0.0,0.75,0.8125,9.548,9.436142857143,9.825285714286,1.3585,2.0
Bitget_2026-09-20T03:50:09.068824+00:00_PHAUSDT_LONG_0.03514,2026-09-20T03:50:09.068824+00:00,PHAUSDT,Bitget,LONG,0.0,0.0,80.0,legacy,1.0,0.5,1.0,0.0,1.0,1.0,0.8,0.03514,0.034592857143,0.036405714286,1.7197,2.0
Bitget_2026-09-20T03:50:12.616035+00:00_SOLUSDT_LONG_108.738,2026-09-20T03:50:12.616035+00:00,SOLUSDT,Bitget,LONG,0.0,0.0,80.0,legacy,1.0,0.5,1.0,0.0,1.0,1.0,0.8,108.738,107.439328571429,111.691357142857,1.3034,2.0
Bitget_2026-09-20T03:50:17.843872+00:00_WIFUSDT_LONG_0.2009,2026-09-20T03:50:17.843872+00:00,WIFUSDT,Bitget,LONG,0.0,0.0,80.0,legacy,1.0,0.5,1.0,0.0,1.0,1.0,0.8,0.2009,0.197462857143,0.208785714286,1.8787,2.0
Bitget_2026-09-20T10:11:14.690391+00:00_BTWUSDT_SHORT_0.625282,2026-09-20T10:11:14.690391+00:00,BTWUSDT,Bitget,SHORT,0.0,0.0,80.0,legacy,1.0,0.5,1.0,0.0,1.0,1.0,0.8,0.625282,0.631523357143,0.610614214286,1.1147,2.0
Bitget_2026-09-20T10:11:26.284173+00:00_MORPHOUSDT_LONG_2.5015,2026-09-20T10:11:26.284173+00:00,MORPHOUSDT,Bitget,LONG,0.0,0.0,85.0,legacy,1.0,1.0,1.0,1.0,0.0,1.0,0.85,2.5015,2.498878571429,2.509507142857,0.1416,2.0
Bitget_2026-09-20T10:11:39.539256+00:00_XTZUSDT_SHORT_0.3471,2026-09-20T10:11:39.539256+00:00,XTZUSDT,Bitget,SHORT,0.0,0.0,80.0,legacy,1.0,0.5,1.0,0.0,1.0,1.0,0.8,0.3471,0.351597142857,0.336614285714,1.4389,2.0
Bitget_2026-09-20T10:15:27.709377+00:00_FUSDT_LONG_0.003658,2026-09-20T10:15:27.709377+00:00,FUSDT,Bitget,LONG,0.0,0.0,81.2,legacy,1.0,0.5,1.0,1.0,0.0,0.75,0.8125,0.003658,0.003630557143,0.003723214286,0.8443,2.0
Bitget_2026-09-20T10:20:17.487899+00:00_AVAUSDT_LONG_0.2209,2026-09-20T10:20:17.487899+00:00,AVAUSDT,Bitget,LONG,0.0,0.0,81.2,legacy,1.0,0.5,1.0,1.0,0.0,0.75,0.8125,0.2209,0.218772857143,0.225835714286,1.0658,2.0
Bitget_2026-09-20T10:20:18.855825+00:00_BLESSUSDT_LONG_0.009144,2026-09-20T10:20:18.855825+00:00,BLESSUSDT,Bitget,LONG,0.0,0.0,100.0,legacy,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0.009144,0.008991242857,0.009475785714,1.7663,2.0
Bitget_2026-09-20T10:20:20.875261+00:00_CAPUSDT_LONG_0.04492,2026-09-20T10:20:20.875261+00:00,CAPUSDT,Bitget,LONG,0.0,0.0,81.2,legacy,1.0,0.5,1.0,1.0,0.0,0.75,0.8125,0.04492,0.044697857143,0.045430714286,0.5438,2.0
Bitget_2026-09-20T10:20:27.112825+00:00_GRAMUSDT_LONG_1.3695,2026-09-20T10:20:27.112825+00:00,GRAMUSDT,Bitget,LONG,0.0,0.0,81.2,legacy,1.0,0.5,1.0,1.0,0.0,0.75,0.8125,1.3695,1.366097142857,1.377538264286,0.2785,2.0
Bitget_2026-09-20T10:20:27.543117+00:00_GRVTUSDT_LONG_0.18413,2026-09-20T10:20:27.543117+00:00,GRVTUSDT,Bitget,LONG,0.0,0.0,81.2,legacy,1.0,0.5,1.0,1.0,0.0,0.75,0.8125,0.18413,0.183281714286,0.186121428571,0.5141,2.0
Bitget_2026-09-20T10:26:29.577847+00:00_ACEUSDT_LONG_0.1527,2026-09-20T10:26:29.577847+00:00,ACEUSDT,Bitget,LONG,0.0,0.0,100.0,legacy,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0.1527,0.151722857143,0.154885714286,0.6904,2.0
Bitget_2026-09-20T10:26:42.159625+00:00_GRVTUSDT_LONG_0.18434,2026-09-20T10:26:42.159625+00:00,GRVTUSDT,Bitget,LONG,0.0,0.0,81.2,legacy,1.0,0.5,1.0,1.0,0.0,0.75,0.8125,0.18434,0.183295571429,0.186682142857,0.6124,2.0
Bitget_2026-09-20T10:26:45.201483+00:00_KMNOUSDT_LONG_0.02639,2026-09-20T10:26:45.201483+00:00,KMNOUSDT,Bitget,LONG,0.0,0.0,80.0,legacy,1.0,1.0,1.0,0.0,1.0,1.0,0.8,0.02639,0.026120857143,0.027045714286,1.1682,2.0
Bitget_2026-09-20T10:45:16.537828+00:00_AVAUSDT_LONG_0.2206,2026-09-20T10:45:16.537828+00:00,AVAUSDT,Bitget,LONG,0.0,0.0,85.0,legacy,1.0,1.0,1.0,1.0,0.0,1.0,0.85,0.2206,0.217672857143,0.227135714286,1.4299,2.0
Bitget_2026-09-20T10:45:27.430185+00:00_HUSDT_LONG_0.07236,2026-09-20T10:45:27.430185+00:00,HUSDT,Bitget,LONG,0.0,0.0,85.0,legacy,1.0,1.0,1.0,1.0,0.0,1.0,0.85,0.07236,0.071844285714,0.073618571429,0.8173,2.0
Bitget_2026-09-20T11:30:54.703205+00:00_BLESSUSDT_LONG_0.00905,2026-09-20T11:30:54.703205+00:00,BLESSUSDT,Bitget,LONG,0.0,0.0,80.0,legacy,1.0,0.5,1.0,0.0,1.0,1.0,0.8,0.00905,0.008907585714,0.009372071429,1.7108,2.0
Bitget_2026-09-20T11:31:03.516582+00:00_HUSDT_LONG_0.07285,2026-09-20T11:31:03.516582+00:00,HUSDT,Bitget,LONG,0.0,0.0,100.0,legacy,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0.07285,0.072069,0.074595,1.1558,2.0
Bitget_2026-09-20T11:31:05.281473+00:00_LAUSDT_LONG_0.06753,2026-09-20T11:31:05.281473+00:00,LAUSDT,Bitget,LONG,0.0,0.0,81.2,legacy,1.0,0.5,1.0,1.0,0.0,0.75,0.8125,0.06753,0.067290571429,0.068157142857,0.4277,2.0
Bitget_2026-09-20T11:31:06.732765+00:00_METUSDT_LONG_0.2474,2026-09-20T11:31:06.732765+00:00,METUSDT,Bitget,LONG,0.0,0.0,81.2,legacy,1.0,0.5,1.0,1.0,0.0,0.75,0.8125,0.2474,0.246168571429,0.250257142857,0.5509,2.0
Bitget_2026-09-20T12:00:51.859750+00:00_EDGEUSDT_LONG_0.5595,2026-09-20T12:00:51.859750+00:00,EDGEUSDT,Bitget,LONG,0.0,0.0,100.0,legacy,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5595,0.550787142857,0.578464285714,1.6489,2.0
Bitget_2026-09-20T12:00:53.850341+00:00_FETUSDT_SHORT_0.171,2026-09-20T12:00:53.850341+00:00,FETUSDT,Bitget,SHORT,0.0,0.0,81.2,legacy,1.0,0.5,1.0,1.0,0.0,0.75,0.8125,0.171,0.171437142857,0.169714285714,0.3358,2.0
Bitget_2026-09-20T12:00:54.326066+00:00_GASUSDT_LONG_1.324,2026-09-20T12:00:54.326066+00:00,GASUSDT,Bitget,LONG,0.0,0.0,100.0,legacy,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.324,1.319642857143,1.333905885714,0.3591,2.0
Bitget_2026-09-20T12:00:54.391348+00:00_GENIUSUSDT_LONG_0.34318,2026-09-20T12:00:54.391348+00:00,GENIUSUSDT,Bitget,LONG,0.0,0.0,100.0,legacy,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0.34318,0.338354285714,0.353928571429,1.5127,2.0
Bitget_2026-09-20T12:00:57.858559+00:00_KAITOUSDT_LONG_0.3272,2026-09-20T12:00:57.858559+00:00,KAITOUSDT,Bitget,LONG,0.0,0.0,100.0,legacy,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0.3272,0.325437142857,0.331214285714,0.5885,2.0
Bitget_2026-09-20T12:00:58.651608+00:00_LABUSDT_LONG_0.0518,2026-09-20T12:00:58.651608+00:00,LABUSDT,Bitget,LONG,0.0,0.0,87.5,legacy,1.0,0.5,0.5,1.0,1.0,1.0,0.875,0.0518,0.051052857143,0.053435714286,1.5334,2.0
Bitget_2026-09-20T12:01:05.657256+00:00_PUMPUSDT_SHORT_0.00405,2026-09-20T12:01:05.657256+00:00,PUMPUSDT,Bitget,SHORT,0.0,0.0,81.2,legacy,1.0,0.5,1.0,1.0,0.0,0.75,0.8125,0.00405,0.004071514286,0.003996428571,0.618,2.0
Bitget_2026-09-20T12:01:09.711777+00:00_SQDUSDT_LONG_0.02751,2026-09-20T12:01:09.711777+00:00,SQDUSDT,Bitget,LONG,0.0,0.0,87.5,legacy,1.0,0.5,0.5,1.0,1.0,1.0,0.875,0.02751,0.027395714286,0.027763330429,0.4454,2.0
Bitget_2026-09-20T12:01:15.286943+00:00_XTZUSDT_LONG_0.3413,2026-09-20T12:01:15.286943+00:00,XTZUSDT,Bitget,LONG,0.0,0.0,80.0,legacy,1.0,0.5,1.0,0.0,1.0,1.0,0.8,0.3413,0.335891428571,0.352742857143,1.6458,2.0
Bitget_2026-09-20T12:46:06.201946+00:00_LAUSDT_LONG_0.06777,2026-09-20T12:46:06.201946+00:00,LAUSDT,Bitget,LONG,0.0,0.0,81.2,legacy,1.0,0.5,1.0,1.0,0.0,0.75,0.8125,0.06777,0.067340571429,0.068747142857,0.6918,2.0
Bitget_2026-09-20T12:46:06.239146+00:00_LDOUSDT_LONG_0.399,2026-09-20T12:46:06.239146+00:00,LDOUSDT,Bitget,LONG,0.0,0.0,81.2,legacy,1.0,0.5,1.0,1.0,0.0,0.75,0.8125,0.399,0.397425714286,0.402671428571,0.4382,2.0
Bitget_2026-09-20T12:46:07.134889+00:00_MAGMAUSDT_LONG_0.22431,2026-09-20T12:46:07.134889+00:00,MAGMAUSDT,Bitget,LONG,0.0,0.0,85.0,legacy,1.0,1.0,1.0,1.0,0.0,1.0,0.85,0.22431,0.223704857143,0.225925714286,0.33,2.0
Bitget_2026-09-20T12:46:19.146660+00:00_WIFUSDT_LONG_0.196,2026-09-20T12:46:19.146660+00:00,WIFUSDT,Bitget,LONG,0.0,0.0,85.0,legacy,1.0,1.0,1.0,1.0,0.0,1.0,0.85,0.196,0.195794285714,0.196728571429,0.1589,2.0
Bitget_2026-09-20T13:03:02.758557+00:00_AWEUSDT_LONG_0.062837,2026-09-20T13:03:02.758557+00:00,AWEUSDT,Bitget,LONG,0.0,0.0,80.0,legacy,1.0,0.5,1.0,0.0,1.0,1.0,0.8,0.062837,0.062649642857,0.063268267586,0.3282,2.0
Bitget_2026-09-20T13:03:08.546670+00:00_CTSIUSDT_LONG_0.02914,2026-09-20T13:03:08.546670+00:00,CTSIUSDT,Bitget,LONG,0.0,0.0,85.0,legacy,1.0,1.0,1.0,1.0,0.0,1.0,0.85,0.02914,0.028891714286,0.029781428571,1.0177,2.0
Bitget_2026-09-20T13:03:08.891063+00:00_CYSUSDT_LONG_0.15226,2026-09-20T13:03:08.891063+00:00,CYSUSDT,Bitget,LONG,0.0,0.0,85.0,legacy,1.0,1.0,1.0,1.0,0.0,1.0,0.85,0.15226,0.151333714286,0.154671428571,0.7307,2.0
Bitget_2026-09-20T13:03:09.766290+00:00_EDGEUSDT_LONG_0.5595,2026-09-20T13:03:09.766290+00:00,EDGEUSDT,Bitget,LONG,0.0,0.0,100.0,legacy,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5595,0.554667142857,0.570164285714,0.9233,2.0
Bitget_2026-09-20T13:03:15.959733+00:00_KERNELUSDT_LONG_0.04094,2026-09-20T13:03:15.959733+00:00,KERNELUSDT,Bitget,LONG,0.0,0.0,80.0,legacy,1.0,0.5,1.0,0.0,1.0,1.0,0.8,0.04094,0.040777428571,0.041302857143,0.4278,2.0
Bitget_2026-09-20T13:03:17.466936+00:00_MINAUSDT_LONG_0.10352,2026-09-20T13:03:17.466936+00:00,MINAUSDT,Bitget,LONG,0.0,0.0,80.0,legacy,1.0,0.5,1.0,0.0,1.0,1.0,0.8,0.10352,0.102246142857,0.106289285714,1.3019,2.0
Bitget_2026-09-20T13:03:27.487864+00:00_TRBUSDT_LONG_17.465,2026-09-20T13:03:27.487864+00:00,TRBUSDT,Bitget,LONG,0.0,0.0,80.0,legacy,1.0,0.5,1.0,0.0,1.0,1.0,0.8,17.465,17.352857142857,17.707714285714,0.6773,2.0
Bitget_2026-09-20T13:03:28.622128+00:00_UNIUSDT_LONG_8.656,2026-09-20T13:03:28.622128+00:00,UNIUSDT,Bitget,LONG,0.0,0.0,80.0,legacy,1.0,0.5,1.0,0.0,1.0,1.0,0.8,8.656,8.582685714286,8.824571428571,0.9315,2.0
Bitget_2026-09-20T13:03:28.710957+00:00_USUALUSDT_LONG_0.01282,2026-09-20T13:03:28.710957+00:00,USUALUSDT,Bitget,LONG,0.0,0.0,87.5,legacy,1.0,0.5,0.5,1.0,1.0,1.0,0.875,0.01282,0.012742428571,0.012997857143,0.6641,2.0
Bitget_2026-09-20T13:05:51.597060+00:00_CTSIUSDT_LONG_0.02904,2026-09-20T13:05:51.597060+00:00,CTSIUSDT,Bitget,LONG,0.0,0.0,85.0,legacy,1.0,1.0,1.0,1.0,0.0,1.0,0.85,0.02904,0.028927285714,0.029423571429,0.5697,2.0
Bitget_2026-09-20T13:05:51.815536+00:00_CYSUSDT_LONG_0.15255,2026-09-20T13:05:51.815536+00:00,CYSUSDT,Bitget,LONG,0.0,0.0,81.2,legacy,1.0,0.5,1.0,1.0,0.0,0.75,0.8125,0.15255,0.151120285714,0.155918571429,1.0485,2.0
Bitget_2026-09-20T13:05:52.761002+00:00_EDGEUSDT_LONG_0.5598,2026-09-20T13:05:52.761002+00:00,EDGEUSDT,Bitget,LONG,0.0,0.0,100.0,legacy,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5598,0.556011428571,0.568242857143,0.7283,2.0
Bitget_2026-09-20T13:05:59.659443+00:00_KMNOUSDT_SHORT_0.02741,2026-09-20T13:05:59.659443+00:00,KMNOUSDT,Bitget,SHORT,0.0,0.0,85.0,legacy,1.0,1.0,1.0,1.0,0.0,1.0,0.85,0.02741,0.027662142857,0.026869285714,0.9642,2.0
Bitget_2026-09-20T13:06:04.058398+00:00_ONDOUSDT_SHORT_0.4102,2026-09-20T13:06:04.058398+00:00,ONDOUSDT,Bitget,SHORT,0.0,0.0,87.5,legacy,1.0,0.5,0.5,1.0,1.0,1.0,0.875,0.4102,0.414071428571,0.401342857143,1.0343,2.0
Bitget_2026-09-20T13:06:06.405999+00:00_POLUSDT_LONG_0.10376,2026-09-20T13:06:06.405999+00:00,POLUSDT,Bitget,LONG,0.0,0.0,80.0,legacy,1.0,0.5,1.0,0.0,1.0,1.0,0.8,0.10376,0.103057285714,0.105353571429,0.7377,2.0
Bitget_2026-09-20T13:06:12.226068+00:00_TRBUSDT_LONG_17.47,2026-09-20T13:06:12.226068+00:00,TRBUSDT,Bitget,LONG,0.0,0.0,80.0,legacy,1.0,0.5,1.0,0.0,1.0,1.0,0.8,17.47,17.353414285714,17.719928571429,0.6993,2.0
Bitget_2026-09-20T13:51:00.926068+00:00_C98USDT_LONG_0.01508,2026-09-20T13:51:00.926068+00:00,C98USDT,Bitget,LONG,0.0,0.0,87.5,legacy,1.0,0.5,0.5,1.0,1.0,1.0,0.875,0.01508,0.015015428571,0.01574,0.4585,9.48
Bitget_2026-09-20T13:51:07.564824+00:00_GRASSUSDT_SHORT_0.3583,2026-09-20T13:51:07.564824+00:00,GRASSUSDT,Bitget,SHORT,0.0,0.0,80.0,legacy,1.0,0.5,1.0,0.0,1.0,1.0,0.8,0.3583,0.361056571429,0.35041,0.8242,2.61
Bitget_2026-09-20T13:51:10.431298+00:00_KMNOUSDT_SHORT_0.0276,2026-09-20T13:51:10.431298+00:00,KMNOUSDT,Bitget,SHORT,0.0,0.0,81.2,legacy,1.0,0.5,1.0,1.0,0.0,0.75,0.8125,0.0276,0.027715571429,0.02613,0.4752,11.09
Bitget_2026-09-20T13:51:16.249451+00:00_POWERUSDT_SHORT_0.12784,2026-09-20T13:51:16.249451+00:00,POWERUSDT,Bitget,SHORT,0.0,0.0,81.2,legacy,1.0,0.5,1.0,1.0,0.0,0.75,0.8125,0.12784,0.128728,0.10747,0.8339,18.94
Bitget_2026-09-20T13:51:18.606596+00:00_SKLUSDT_LONG_0.004264,2026-09-20T13:51:18.606596+00:00,SKLUSDT,Bitget,LONG,0.0,0.0,81.2,legacy,1.0,0.5,1.0,1.0,0.0,0.75,0.8125,0.004264,0.004230814286,0.005246,0.9702,23.54
