id,timestamp,symbol,direction,baseline_entry,baseline_stop,baseline_target,anchor_40,buffer,planned_entry,entry_improvement_pct,planned_stop,planned_target,risk_pct,reward_r,status,fill_timestamp,outcome,outcome_r,outcome_timestamp,reason,target_2r,outcome_2r,target_3r,outcome_3r,target_4r,outcome_4r,target_5r,outcome_5r,target_6r,outcome_6r,target_7r,outcome_7r,target_8r,outcome_8r
Bitget_2026-09-21T10:25:21.090863+00:00_BERAUSDT_SHORT_0.2274,2026-09-21T10:25:21.090863+00:00,BERAUSDT,SHORT,0.2274,0.228095714286,0.2221,0.228,9.78571428571e-05,0.227902142857,0.220819,0.228097857143,0.227510714286,0.085876,2.000000,AMBIGUOUS_FILL,2026-09-21T10:35:00+00:00,AMBIGUOUS,,2026-09-21T10:35:00+00:00,fill candle also touched stop or target; intrabar order is unknowable,0.227510714286,EXPANSION,0.227315,EXPANSION,0.227119285714,EXPANSION,0.226923571429,EXPANSION,0.226727857143,FAIL,0.226532142857,FAIL,0.226336428571,FAIL
Bitget_2026-09-21T10:25:36.015486+00:00_MORPHOUSDT_SHORT_2.797,2026-09-21T10:25:36.015486+00:00,MORPHOUSDT,SHORT,2.797,2.81831,2.7374,2.8331,0.001455,2.831645,1.238649,2.834555,2.825825,0.102767,2.000000,UNFILLED,,,,,,2.825825,,2.822915,,2.820005,,2.817095,,2.814185,,2.811275,,2.808365,
Bitget_2026-09-21T10:25:44.914675+00:00_UBUSDT_SHORT_0.13943,2026-09-21T10:25:44.914675+00:00,UBUSDT,SHORT,0.13943,0.141636428571,0.13068,0.14156,8.32142857143e-05,0.141476785714,1.467967,0.141643214286,0.141143928571,0.117637,2.000000,AMBIGUOUS_FILL,2026-09-21T12:10:00+00:00,AMBIGUOUS,,2026-09-21T12:10:00+00:00,fill candle also touched stop or target; intrabar order is unknowable,0.141143928571,AMBIGUOUS,0.1409775,AMBIGUOUS,0.140811071429,AMBIGUOUS,0.140644642857,AMBIGUOUS,0.140478214286,AMBIGUOUS,0.140311785714,AMBIGUOUS,0.140145357143,AMBIGUOUS
Bitget_2026-09-21T10:46:36.584794+00:00_ARXUSDT_SHORT_0.19941,2026-09-21T10:46:36.584794+00:00,ARXUSDT,SHORT,0.19941,0.201386571429,0.18865,0.20297,8.75e-05,0.2028825,1.741387,0.2030575,0.2025325,0.086257,2.000000,AMBIGUOUS_FILL,2026-09-21T11:45:00+00:00,AMBIGUOUS,,2026-09-21T11:45:00+00:00,fill candle also touched stop or target; intrabar order is unknowable,0.2025325,AMBIGUOUS,0.2023575,AMBIGUOUS,0.2021825,AMBIGUOUS,0.2020075,AMBIGUOUS,0.2018325,FAIL,0.2016575,FAIL,0.2014825,FAIL
Bitget_2026-09-21T10:46:38.587887+00:00_BERAUSDT_SHORT_0.227,2026-09-21T10:46:38.587887+00:00,BERAUSDT,SHORT,0.227,0.229394285714,0.2196,0.2292,9.71428571429e-05,0.229102857143,0.926369,0.229297142857,0.228714285714,0.084803,2.000000,AMBIGUOUS_FILL,2026-09-21T11:05:00+00:00,AMBIGUOUS,,2026-09-21T11:05:00+00:00,fill candle also touched stop or target; intrabar order is unknowable,0.228714285714,EXPANSION,0.22852,EXPANSION,0.228325714286,EXPANSION,0.228131428571,FAIL,0.227937142857,FAIL,0.227742857143,FAIL,0.227548571429,FAIL
Bitget_2026-09-21T10:46:39.300361+00:00_BRETTUSDT_SHORT_0.0056,2026-09-21T10:46:39.300361+00:00,BRETTUSDT,SHORT,0.0056,0.005650271429,0.005372,,,,,,,,,SKIPPED,,,,,fewer than 40 fully closed 5m candles before signal,,,,,,,,,,,,,,
Bitget_2026-09-21T10:46:40.782004+00:00_CAPUSDT_SHORT_0.04563,2026-09-21T10:46:40.782004+00:00,CAPUSDT,SHORT,0.04563,0.045866,0.04403,0.04602,1.8e-05,0.046002,0.815253,0.046038,0.04593,0.078257,2.000000,AMBIGUOUS_FILL,2026-09-21T12:10:00+00:00,AMBIGUOUS,,2026-09-21T12:10:00+00:00,fill candle also touched stop or target; intrabar order is unknowable,0.04593,EXPANSION,0.045894,EXPANSION,0.045858,EXPANSION,0.045822,EXPANSION,0.045786,EXPANSION,0.04575,EXPANSION,0.045714,EXPANSION
Bitget_2026-09-21T10:46:43.541715+00:00_DEEPUSDT_SHORT_0.01922,2026-09-21T10:46:43.541715+00:00,DEEPUSDT,SHORT,0.01922,0.019442,0.01839,0.01974,1.1e-05,0.019729,2.648283,0.019751,0.019685,0.111511,2.000000,AMBIGUOUS_FILL,2026-09-21T11:20:00+00:00,AMBIGUOUS,,2026-09-21T11:20:00+00:00,fill candle also touched stop or target; intrabar order is unknowable,0.019685,EXPANSION,0.019663,EXPANSION,0.019641,EXPANSION,0.019619,EXPANSION,0.019597,EXPANSION,0.019575,EXPANSION,0.019553,FAIL
Bitget_2026-09-21T10:46:44.585688+00:00_EGLDUSDT_SHORT_4.219,2026-09-21T10:46:44.585688+00:00,EGLDUSDT,SHORT,4.219,4.2372,4.082,4.264,0.0031,4.2609,0.993126,4.2671,4.2485,0.145509,2.000000,AMBIGUOUS_FILL,2026-09-21T10:55:00+00:00,AMBIGUOUS,,2026-09-21T10:55:00+00:00,fill candle also touched stop or target; intrabar order is unknowable,4.2485,EXPANSION,4.2423,EXPANSION,4.2361,EXPANSION,4.2299,EXPANSION,4.2237,EXPANSION,4.2175,FAIL,4.2113,FAIL
Bitget_2026-09-21T10:46:47.580454+00:00_GRASSUSDT_SHORT_0.36993,2026-09-21T10:46:47.580454+00:00,GRASSUSDT,SHORT,0.36993,0.371857857143,0.35986,0.37435,0.000123928571429,0.374226071429,1.161320,0.374473928571,0.373730357143,0.066232,2.000000,AMBIGUOUS_FILL,2026-09-21T11:10:00+00:00,AMBIGUOUS,,2026-09-21T11:10:00+00:00,fill candle also touched stop or target; intrabar order is unknowable,0.373730357143,FAIL,0.3734825,FAIL,0.373234642857,FAIL,0.372986785714,FAIL,0.372738928571,FAIL,0.372491071429,FAIL,0.372243214286,FAIL
