timestamp,provider,universe,deep_scan,data_valid,data_errors,direction_long,direction_short,no_direction,alignment_failed,location_failed,reversal_failed,confidence_failed,risk_failed,plan_data_failed,invalid,actions,v2_extreme_reversals
2026-09-18T19:07:59.401713+00:00,Bitget,797,245,0,245,0,0,0,0,,,0,0,0,0,0,0
2026-09-18T19:11:57.880165+00:00,Bitget,797,244,0,244,0,0,0,0,,,0,0,0,0,0,0
2026-09-18T19:20:59.206173+00:00,Bitget,797,243,0,243,0,0,0,0,,,0,0,0,0,0,0
2026-09-18T20:33:58.487569+00:00,Bitget,797,248,0,248,0,0,0,0,,,0,0,0,0,0,0
2026-09-18T22:49:26.620863+00:00,Bitget,797,247,0,247,0,0,0,0,,,0,0,0,0,0,0
2026-09-19T00:44:57.019256+00:00,Bitget,797,245,0,245,0,0,0,0,,,0,0,0,0,0,0
2026-09-19T01:14:42.464880+00:00,Bitget,797,246,244,2,133,20,91,0,,,0,96,0,0,2,2
2026-09-19T01:54:29.180711+00:00,Bitget,797,247,245,2,113,21,111,0,,,0,96,0,0,3,3
2026-09-19T02:16:16.650451+00:00,Bitget,797,246,244,2,122,21,101,0,,,0,96,0,0,5,1
2026-09-19T02:47:43.455650+00:00,Bitget,797,248,247,1,143,22,82,0,,,0,10,0,0,5,0
2026-09-19T03:01:50.195050+00:00,Bitget,797,246,245,1,147,17,81,0,,,0,19,0,2,12,1
2026-09-19T03:32:52.708880+00:00,Bitget,797,246,245,1,127,19,99,0,,,0,16,0,8,4,1
2026-09-19T03:51:43.829631+00:00,Bitget,797,249,247,2,133,19,95,0,,,0,0,0,0,0,1
2026-09-19T04:01:14.391053+00:00,Bitget,797,248,246,2,120,21,105,0,,,0,2,0,0,0,0
2026-09-19T04:20:03.573406+00:00,Bitget,797,249,247,2,128,19,100,0,,,0,2,0,0,4,0
2026-09-19T04:31:20.229552+00:00,Bitget,797,250,248,2,115,18,115,0,,,0,1,0,0,1,0
2026-09-19T05:06:41.820444+00:00,Bitget,797,251,249,2,94,15,140,0,,,0,0,0,0,0,0
2026-09-19T05:24:10.467707+00:00,Bitget,797,254,252,2,83,25,144,0,,,0,3,0,0,0,0
2026-09-19T06:04:28.824654+00:00,Bitget,797,252,249,3,92,24,133,0,,,0,0,0,0,0,1
2026-09-19T06:16:34.488775+00:00,Bitget,797,254,251,3,73,28,150,0,,,0,0,0,0,0,1
2026-09-19T06:43:05.719659+00:00,Bitget,797,255,252,3,68,31,153,0,76,10,10,0,0,0,0,2
2026-09-19T07:02:26.563428+00:00,Bitget,797,255,252,3,71,28,153,0,79,16,2,0,0,0,0,0
2026-09-19T08:15:54.766307+00:00,Bitget,797,255,253,2,77,22,154,0,77,14,5,0,0,0,1,0
